date,rate
2021-09-24,1181.70 
2021-09-27,1175.30 
2021-09-28,1175.90 
2021-09-29,1182.00 
2021-09-30,1184.90 
2021-10-01,1185.20 
2021-10-05,1187.20 
2021-10-06,1187.10 
2021-10-07,1190.00 
2021-10-08,1190.30 
2021-10-12,1193.40 
2021-10-13,1199.10 
2021-10-14,1195.00 
2021-10-15,1188.30 
2021-10-18,1182.80 
2021-10-19,1185.80 
2021-10-20,1181.70 
2021-10-21,1175.60 
2021-10-22,1175.80 
2021-10-25,1178.40 
2021-10-26,1171.80 
2021-10-27,1166.30 
2021-10-28,1168.10 
2021-10-29,1171.70 
2021-11-01,1169.60 
2021-11-02,1176.30 
2021-11-03,1175.50 
2021-11-04,1181.10 
2021-11-05,1180.00 
2021-11-08,1185.20 
2021-11-09,1184.30 
2021-11-10,1178.40 
2021-11-11,1181.00 
2021-11-12,1184.70 
2021-11-15,1179.60 
2021-11-16,1180.20 
2021-11-17,1179.60 
2021-11-18,1183.60 
2021-11-19,1180.50 
2021-11-22,1183.50 
2021-11-23,1187.40 
2021-11-24,1188.90 
2021-11-25,1188.50 
2021-11-26,1189.70 
2021-11-29,1193.00 
2021-11-30,1193.40 
2021-12-01,1187.70 
2021-12-02,1180.30 
2021-12-03,1177.30 
2021-12-06,1178.60 
2021-12-07,1183.70 
2021-12-08,1181.20 
2021-12-09,1176.40 
2021-12-10,1173.80 
2021-12-13,1178.20 
2021-12-14,1178.80 
2021-12-15,1183.60 
2021-12-16,1186.20 
2021-12-17,1183.50 
2021-12-20,1184.40 
2021-12-21,1189.80 
2021-12-22,1191.50 
2021-12-23,1191.20 
2021-12-24,1187.50 
2021-12-27,1186.40 
2021-12-28,1186.20 
2021-12-29,1186.70 
2021-12-30,1186.60 
2021-12-31,1185.50 
2022-01-03,1185.50 
2022-01-04,1190.80 
2022-01-05,1194.30 
2022-01-06,1198.20 
2022-01-07,1199.60 
2022-01-10,1202.40 
2022-01-11,1200.00 
2022-01-12,1195.20 
2022-01-13,1189.90 
2022-01-14,1188.20 
2022-01-17,1187.60 
2022-01-18,1192.30 
2022-01-19,1188.90 
2022-01-20,1191.80 
2022-01-21,1190.40 
2022-01-24,1193.60 
2022-01-25,1194.20 
2022-01-26,1197.80 
2022-01-27,1197.00 
2022-01-28,1202.40 
2022-02-03,1205.70 
2022-02-04,1205.40 
2022-02-07,1199.50 
2022-02-08,1199.40 
2022-02-09,1197.80 
2022-02-10,1196.00 
2022-02-11,1196.00 
2022-02-14,1199.60 
2022-02-15,1198.30 
2022-02-16,1198.50 
2022-02-17,1196.90 
2022-02-18,1197.10 
2022-02-21,1196.40 
2022-02-22,1194.60 
2022-02-23,1194.70 
2022-02-24,1192.10 
2022-02-25,1199.40 
2022-02-28,1202.70 
2022-03-02,1205.60 
2022-03-03,1205.00 
2022-03-04,1203.60 
2022-03-07,1211.50 
2022-03-08,1225.40 
2022-03-10,1234.50 
2022-03-11,1228.70 
2022-03-14,1232.40 
2022-03-15,1238.60 
2022-03-16,1241.70 
2022-03-17,1240.40 
2022-03-18,1220.60 
2022-03-21,1211.10 
2022-03-22,1213.70 
2022-03-23,1221.40 
2022-03-24,1212.70 
2022-03-25,1219.40 
2022-03-28,1218.30 
2022-03-29,1225.70 
2022-03-30,1220.50 
2022-03-31,1210.80 
2022-04-01,1210.70 
2022-04-04,1216.10 
2022-04-05,1216.70 
2022-04-06,1212.60 
2022-04-07,1219.10 
2022-04-08,1218.50 
2022-04-11,1224.00 
2022-04-12,1232.00 
2022-04-13,1236.60 
2022-04-14,1227.70 
2022-04-15,1224.20 
2022-04-18,1230.10 
2022-04-19,1232.80 
2022-04-20,1234.90 
2022-04-21,1237.10 
2022-04-22,1236.40 
2022-04-25,1241.70 
2022-04-26,1247.10 
2022-04-27,1248.30 
2022-04-28,1263.10 
2022-04-29,1269.40 
2022-05-02,1265.40 
2022-05-03,1265.80 
2022-05-04,1265.70 
2022-05-06,1261.80 
